A2A SpA,A2A.MI,Milan,Italy
Acea,ACE.MI,Milan,Italy
Acotel Group,ACO.MI,Milan,Italy
Acque Potabili,ACP.MI,Milan,Italy
Acsm-Agam SPA,ACS.MI,Milan,Italy
Aedes,AE.MI,Milan,Italy
Aeffe,AEF.MI,Milan,Italy
Acegas-APS,AEG.MI,Milan,Italy
Aeroporto Firenze,AFI.MI,Milan,Italy
Autogrill Spa,AGL.MI,Milan,Italy
Aegon NV,AGN.MI,Milan,Italy
Ageas NV,AGS.MI,Milan,Italy
Ahold Kon,AH.MI,Milan,Italy
Alcatel-Lucent,ALU.MI,Milan,Italy
Allianz SE,ALV.MI,Milan,Italy
Amplifon,AMP.MI,Milan,Italy
Antichi Pellettieri,AP.MI,Milan,Italy
Arena Agroindustrie Alimentari,ARE.MI,Milan,Italy
Alerion CleanPower,ARN.MI,Milan,Italy
Ascopiave,ASC.MI,Milan,Italy
A.S. Roma,ASR.MI,Milan,Italy
Astaldi,AST.MI,Milan,Italy
Autostrada Torino-Milano SpA,AT.MI,Milan,Italy
Atlantia,ATL.MI,Milan,Italy
Autostrade Meridionali,AUTME.MI,Milan,Italy
AXA SA,AXA.MI,Milan,Italy
Azimut Holding SPA,AZM.MI,Milan,Italy
Bastogi SPA,B.MI,Milan,Italy
Basicnet,BAN.MI,Milan,Italy
Basf SE,BASF.MI,Milan,Italy
Bayer AG,BAY.MI,Milan,Italy
Biancamano,BCM.MI,Milan,Italy
Banco Desio Brianza,BDB.MI,Milan,Italy
Banco Desio Brianza,BDBR.MI,Milan,Italy
Beghelli,BE.MI,Milan,Italy
B&C,BEC.MI,Milan,Italy
Best Union Company,BEST.MI,Milan,Italy
Bee Team Spa,BET.MI,Milan,Italy
Bonifiche Ferraresi,BF.MI,Milan,Italy
Banca Finnat,BFE.MI,Milan,Italy
Banca Generali,BGN.MI,Milan,Italy
Bialetti Industriale,BIA.MI,Milan,Italy
Bioera,BIE.MI,Milan,Italy
Banca Intermobiliare di,BIM.MI,Milan,Italy
Bolzoni,BLZ.MI,Milan,Italy
Banca Monte dei Paschi,BMPS.MI,Milan,Italy
Bayerische Motoren Werke AG,BMW.MI,Milan,Italy
BNP Paribas,BNP.MI,Milan,Italy
Beni Stabili S.p.A. SIIQ,BNS.MI,Milan,Italy
Borgosesia,BO.MI,Milan,Italy
Boero Bartolomeo,BOE.MI,Milan,Italy
Borgosesia,BOR.MI,Milan,Italy
Banco Popolare,BP.MI,Milan,Italy
Banca Popolare Emil Romagna,BPE.MI,Milan,Italy
Banca Popolare di Sondrio,BPSO.MI,Milan,Italy
Brembo,BRE.MI,Milan,Italy
Brioschi,BRI.MI,Milan,Italy
Banco di Sardegna,BSRP.MI,Milan,Italy
Biesse,BSS.MI,Milan,Italy
Buzzi Unicem,BZU.MI,Milan,Italy
Buzzi Unicem,BZUR.MI,Milan,Italy
Cad It,CAD.MI,Milan,Italy
Cairo Communication Spa,CAI.MI,Milan,Italy
Caltagirone,CALT.MI,Milan,Italy
Carraro,CARR.MI,Milan,Italy
Cattolica Assicurazioni,CASS.MI,Milan,Italy
Credito Bergamasco,CB.MI,Milan,Italy
Ciccolella,CC.MI,Milan,Italy
Cdc,CDC.MI,Milan,Italy
Credito Emiliano,CE.MI,Milan,Italy
Caltagirone Editore,CED.MI,Milan,Italy
Cementir Holding SPA,CEM.MI,Milan,Italy
Chl,CHL.MI,Milan,Italy
Compagnia Immobiliare,CIA.MI,Milan,Italy
Cir-Compagnie Industriali,CIR.MI,Milan,Italy
Cape Live,CL.MI,Milan,Italy
Class Editori,CLE.MI,Milan,Italy
Caleffi,CLF.MI,Milan,Italy
Centrale Latte Torino,CLT.MI,Milan,Italy
Cembre,CMB.MI,Milan,Italy
Camfin,CMF.MI,Milan,Italy
Conafi Prestito',CNP.MI,Milan,Italy
Cobra,COB.MI,Milan,Italy
Cofide,COF.MI,Milan,Italy
Davide Campari-Milano S.p.A.,CPR.MI,Milan,Italy
Crespi,CRE.MI,Milan,Italy
Banca Carige,CRG.MI,Milan,Italy
Banca Carige,CRGR.MI,Milan,Italy
Carrefour,CRR.MI,Milan,Italy
Csp International,CSP.MI,Milan,Italy
Cell Therapeutics, Inc.,CTIC.MI,Milan,Italy
Credito Valtellinese,CVAL.MI,Milan,Italy
Dada,DA.MI,Milan,Italy
Daimler AG,DAI.MI,Milan,Italy
Datalogic,DAL.MI,Milan,Italy
Danieli & C.Officine Mecc,DAN.MI,Milan,Italy
Danieli & C.Officine Mecc,DANR.MI,Milan,Italy
Deutsche Bank AG,DBK.MI,Milan,Italy
Dea Capital,DEA.MI,Milan,Italy
Diasorin,DIA.MI,Milan,Italy
Digital Bros,DIB.MI,Milan,Italy
D'Amico,DIS.MI,Milan,Italy
De'Longhi,DLG.MI,Milan,Italy
Dmail Group,DMA.MI,Milan,Italy
Damiani,DMN.MI,Milan,Italy
Danone,DNN.MI,Milan,Italy
Deutsche Telekom AG,DTE.MI,Milan,Italy
Ergycapital,ECA.MI,Milan,Italy
Eems,EEMS.MI,Milan,Italy
Elica,ELC.MI,Milan,Italy
El.en.,ELN.MI,Milan,Italy
Emak,EM.MI,Milan,Italy
ENEL Ente Nazionale per,ENEL.MI,Milan,Italy
Engineering,ENG.MI,Milan,Italy
Eni SpA,ENI.MI,Milan,Italy
Enervit,ENV.MI,Milan,Italy
E.ON Aktiengesellschaft AG,EOAN.MI,Milan,Italy
Erg,ERG.MI,Milan,Italy
Gruppo Editoriale L'Espre,ES.MI,Milan,Italy
Eurotech,ETH.MI,Milan,Italy
EXOR Spa,EXO.MI,Milan,Italy
EXOR Spa,EXP.MI,Milan,Italy
EXOR Spa,EXR.MI,Milan,Italy
Fiat Group S.p.A.,F.MI,Milan,Italy
Fidia,FDA.MI,Milan,Italy
Fiera Milano,FM.MI,Milan,Italy
Finmeccanica SpA,FNC.MI,Milan,Italy
Fnm,FNM.MI,Milan,Italy
Fondiaria-Sai,FSA.MI,Milan,Italy
Fondiaria-Sai,FSAR.MI,Milan,Italy
France Telecom SA,FTE.MI,Milan,Italy
Fintel Energia Group S.p.A.,FTL.MI,Milan,Italy
Fullsix,FUL.MI,Milan,Italy
Generali Assicurazioni,G.MI,Milan,Italy
Gabetti Property Solutions SPA,GAB.MI,Milan,Italy
Gefran,GE.MI,Milan,Italy
Gemina,GEM.MI,Milan,Italy
Gemina,GEMR.MI,Milan,Italy
Geox,GEO.MI,Milan,Italy
Gas Plus Spa,GSP.MI,Milan,Italy
GDF Suez,GSZ.MI,Milan,Italy
Hera SpA,HER.MI,Milan,Italy
Investimenti E Sviluppo,IES.MI,Milan,Italy
Banca Ifis,IF.MI,Milan,Italy
Igd,IGD.MI,Milan,Italy
I Grandi Viaggi,IGV.MI,Milan,Italy
IKF S.p.A.,IKF.MI,Milan,Italy
Industria Macchine,IMA.MI,Milan,Italy
Immsi,IMS.MI,Milan,Italy
Indesit Company,IND.MI,Milan,Italy
Indesit Company,INDR.MI,Milan,Italy
ING Groep N.V.,INGA.MI,Milan,Italy
Interpump Group,IP.MI,Milan,Italy
Impregilo SPA,IPG.MI,Milan,Italy
Impregilo SPA,IPGR.MI,Milan,Italy
Irce,IRC.MI,Milan,Italy
Iren S.p.A.,IRE.MI,Milan,Italy
Isagro,ISG.MI,Milan,Italy
Intesa Sanpaolo SpA,ISP.MI,Milan,Italy
Intesa Sanpaolo SpA,ISPR.MI,Milan,Italy
Italcementi SpA,IT.MI,Milan,Italy
Intek,ITK.MI,Milan,Italy
Intek,ITKRP.MI,Milan,Italy
Italmobiliare SpA,ITM.MI,Milan,Italy
Italmobiliare SpA,ITMR.MI,Milan,Italy
Italcementi SpA,ITR.MI,Milan,Italy
It Way,ITW.MI,Milan,Italy
Juventus Football Club,JUVE.MI,Milan,Italy
KME Group SpA,KME.MI,Milan,Italy
KME Group SpA,KMER.MI,Milan,Italy
Kinexia S.p.A.,KNX.MI,Milan,Italy
K.R.Energy S.p.A.,KRE.MI,Milan,Italy
Le Buone Societa' S.p.A.,LBS.MI,Milan,Italy
La Doria,LD.MI,Milan,Italy
Retelit,LIT.MI,Milan,Italy
Landi Renzo,LR.MI,Milan,Italy
Lottomatica,LTO.MI,Milan,Italy
Luxottica Group S.p.A.,LUX.MI,Milan,Italy
LVMH Moet Hennessy Louis,LVMH.MI,Milan,Italy
Marr,MARR.MI,Milan,Italy
Mediobanca,MB.MI,Milan,Italy
Mediacontech,MCH.MI,Milan,Italy
Marcolin,MCL.MI,Milan,Italy
Meridie,ME.MI,Milan,Italy
M&C,MEC.MI,Milan,Italy
Mediolanum SPA,MED.MI,Milan,Italy
Meridiana Fly S.p.A.,MEF.MI,Milan,Italy
Montefibre,MF.MI,Milan,Italy
Montefibre,MFNC.MI,Milan,Italy
Milano Assicurazioni,MI.MI,Milan,Italy
Mid Industry Capital,MIC.MI,Milan,Italy
Milano Assicurazioni,MIR.MI,Milan,Italy
Mittel,MIT.MI,Milan,Italy
Molmed,MLM.MI,Milan,Italy
Mondadori Editore,MN.MI,Milan,Italy
Mutuionline,MOL.MI,Milan,Italy
Monrif,MON.MI,Milan,Italy
Mediaset,MS.MI,Milan,Italy
Maire Tecnimont,MT.MI,Milan,Italy
Methorios Capital S.p.A,MTH.MI,Milan,Italy
Mondo Tv,MTV.MI,Milan,Italy
Muenchener,MUV2.MI,Milan,Italy
Nice,NICE.MI,Milan,Italy
Noemalife,NOE.MI,Milan,Italy
Nokia Oyj,NOK1V.MI,Milan,Italy
Nova Re,NR.MI,Milan,Italy
Neurosoft S.A.,NRST.MI,Milan,Italy
Olidata,OLI.MI,Milan,Italy
L'Oreal SA,OR.MI,Milan,Italy
Panariagroup,PAN.MI,Milan,Italy
Pirelli & C,PC.MI,Milan,Italy
Pirelli & C,PCP.MI,Milan,Italy
Banca Popolare Etruria-Lazio,PEL.MI,Milan,Italy
Premafin Fin HP,PF.MI,Milan,Italy
Poltrona Frau,PFG.MI,Milan,Italy
Seat Pagine Gialle,PG.MI,Milan,Italy
Seat Pagine Gialle,PGR.MI,Milan,Italy
Koninklijke Philips,PHIA.MI,Milan,Italy
Piaggio,PIA.MI,Milan,Italy
Pininfarina Spa,PINF.MI,Milan,Italy
Parmalat,PLT.MI,Milan,Italy
Banca Popolare di Milano,PMI.MI,Milan,Italy
PMS S.p.A.,PMSG.MI,Milan,Italy
Poligrafici Editoriale,POL.MI,Milan,Italy
Poligrafici Printing S.p.A.,POPR.MI,Milan,Italy
PPR,PP.MI,Milan,Italy
Piquadro S.p.A.,PQ.MI,Milan,Italy
Premuda,PR.MI,Milan,Italy
Pramac,PRA.MI,Milan,Italy
Prima Industrie SPA,PRI.MI,Milan,Italy
Pierrel,PRL.MI,Milan,Italy
Banca Profilo,PRO.MI,Milan,Italy
Prelios SpA,PRS.MI,Milan,Italy
Esprinet,PRT.MI,Milan,Italy
Prysmian,PRY.MI,Milan,Italy
Poligraf. S. F.,PSF.MI,Milan,Italy
Ratti,RAT.MI,Milan,Italy
Rcf Group,RCF.MI,Milan,Italy
Rcs Mediagroup,RCS.MI,Milan,Italy
Rcs Mediagroup,RCSR.MI,Milan,Italy
Rdb,RDB.MI,Milan,Italy
Recordati Ord,REC.MI,Milan,Italy
Reply,REY.MI,Milan,Italy
Richard-Ginori 1735,RG.MI,Milan,Italy
Ceramiche Ricchetti,RIC.MI,Milan,Italy
Reno de Medici SPA,RM.MI,Milan,Italy
Risanamento,RN.MI,Milan,Italy
Renault SA,RNO.MI,Milan,Italy
Rosss,ROS.MI,Milan,Italy
RWE AG,RWE.MI,Milan,Italy
Il Sole 24 Ore,S24.MI,Milan,Italy
Sabaf,SAB.MI,Milan,Italy
Sanofi,SANF.MI,Milan,Italy
Banco Santander SA,SANT.MI,Milan,Italy
Sap AG,SAP.MI,Milan,Italy
Sat,SAT.MI,Milan,Italy
Save SpA,SAVE.MI,Milan,Italy
Safilo Group,SFL.MI,Milan,Italy
SAES Getters SPA,SG.MI,Milan,Italy
SAES Getters SPA,SGR.MI,Milan,Italy
Siemens AG,SIE.MI,Milan,Italy
Societa Iniziative,SIS.MI,Milan,Italy
Snai,SNA.MI,Milan,Italy
Sogefi,SO.MI,Milan,Italy
Sol,SOL.MI,Milan,Italy
Sopaf,SPF.MI,Milan,Italy
Saipem,SPM.MI,Milan,Italy
Saipem,SPMR.MI,Milan,Italy
Banca Popolare di Spoleto,SPO.MI,Milan,Italy
Snam SpA,SRG.MI,Milan,Italy
Servizi Italia,SRI.MI,Milan,Italy
Sorin,SRN.MI,Milan,Italy
Saras,SRS.MI,Milan,Italy
Screen Service,SSB.MI,Milan,Italy
Sadi Servizi Industriali SPA,SSI.MI,Milan,Italy
Societa Sportiva Lazio SPA,SSL.MI,Milan,Italy
Stefanel SPA,STEF.MI,Milan,Italy
Stefanel SPA,STEFR.MI,Milan,Italy
STMicroelectronics NV,STM.MI,Milan,Italy
Ansaldo Sts,STS.MI,Milan,Italy
Tas,TAS.MI,Milan,Italy
TBS Group S.p.A,TBS.MI,Milan,Italy
Telefonica SA,TEF.MI,Milan,Italy
Tenaris SA,TEN.MI,Milan,Italy
Ternienergia,TER.MI,Milan,Italy
Tesmec S.p.A.,TES.MI,Milan,Italy
Trevi Finanziaria Industriale,TFI.MI,Milan,Italy
Tamburi,TIP.MI,Milan,Italy
Tiscali,TIS.MI,Milan,Italy
Telecom Italia SpA,TIT.MI,Milan,Italy
Telecom Italia SpA,TITR.MI,Milan,Italy
Telecom Italia Media SPA,TME.MI,Milan,Italy
Telecom Italia Media SPA,TMER.MI,Milan,Italy
Tod'S,TOD.MI,Milan,Italy
Total SA,TOT.MI,Milan,Italy
Terna,TRN.MI,Milan,Italy
Txt E-Solutions,TXT.MI,Milan,Italy
UBI Banca,UBI.MI,Milan,Italy
UniCredit SpA,UCG.MI,Milan,Italy
UniCredit SpA,UCGR.MI,Milan,Italy
Unilever NV,UNA.MI,Milan,Italy
Unipol Gruppo Finanziario Spa,UNI.MI,Milan,Italy
Unipol Gruppo Finanziario Spa,UNIP.MI,Milan,Italy
Vittoria Assicurazioni,VAS.MI,Milan,Italy
Vianini Industria,VIN.MI,Milan,Italy
Vivendi SA,VIV.MI,Milan,Italy
Vianini Lavori,VLA.MI,Milan,Italy
Valsoia,VLS.MI,Milan,Italy
Vrway Communication SA,VRW.MI,Milan,Italy
Exprivia,XPR.MI,Milan,Italy
Area Impianti,YAI.MI,Milan,Italy
Yoox Spa,YOOX.MI,Milan,Italy
Raffaele Caruso,YRC.MI,Milan,Italy
Zucchi Spa,ZUC.MI,Milan,Italy
Zucchi Spa,ZUCR.MI,Milan,Italy
Zignago Vetro,ZV.MI,Milan,Italy
