Abano Healthcare Group Limited,ABA.NZ,NZSE,New Zealand
Auckland Airport Airport,AIA.NZ,NZSE,New Zealand
Air New Zealand Limited,AIR.NZ,NZSE,New Zealand
Allied Farmers Limited,ALF.NZ,NZSE,New Zealand
AMP Limited,AMP.NZ,NZSE,New Zealand
ANZ Banking Group Ltd.,ANZ.NZ,NZSE,New Zealand
APN News and Media Ltd.,APN.NZ,NZSE,New Zealand
ASB Capital Ltd.,ASBPA.NZ,NZSE,New Zealand
ASB Capital Ltd.,ASBPB.NZ,NZSE,New Zealand
A2 Corporation Limited,ATM.NZ,NZSE,New Zealand
AWF Group Limited,AWF.NZ,NZSE,New Zealand
Burger Fuel Worldwide Limited,BFW.NZ,NZSE,New Zealand
Briscoe Group Limited,BGR.NZ,NZSE,New Zealand
BLIS Technologies Limited,BLT.NZ,NZSE,New Zealand
Cavalier Corporation Limited,CAV.NZ,NZSE,New Zealand
CDL Investments,CDI.NZ,NZSE,New Zealand
Caledonia Investments PLC,CDN.NZ,NZSE,New Zealand
Contact Energy Limited,CEN.NZ,NZSE,New Zealand
Cooks Food Group Limited,CFG.NZ,NZSE,New Zealand
Colonial Motor Co Ltd,CMO.NZ,NZSE,New Zealand
Cue Energy Resources Limited,CUE.NZ,NZSE,New Zealand
Comvita Limited,CVT.NZ,NZSE,New Zealand
Cynotech Holdings Limited,CYT.NZ,NZSE,New Zealand
Delegat's Group Limited,DGL.NZ,NZSE,New Zealand
Diligent Board Membe,DIL.NZ,NZSE,New Zealand
Dorchester Pacific Limited,DPC.NZ,NZSE,New Zealand
Ebos Group Limited,EBO.NZ,NZSE,New Zealand
Ecoya Limited,ECO.NZ,NZSE,New Zealand
Fletcher Building Ltd.,FBU.NZ,NZSE,New Zealand
FiNZsoft Solutions Limited,FIN.NZ,NZSE,New Zealand
Fisher & Paykel Appl,FPA.NZ,NZSE,New Zealand
Fisher & Paykel Heal,FPH.NZ,NZSE,New Zealand
Freightways Limited,FRE.NZ,NZSE,New Zealand
Genesis R&D,GEN.NZ,NZSE,New Zealand
Goodman Fielder Limited,GFF.NZ,NZSE,New Zealand
GFNZ Group Limited,GFL.NZ,NZSE,New Zealand
Guocoleisure Ltd.,GLL.NZ,NZSE,New Zealand
Guinness Peat Group PLC,GPG.NZ,NZSE,New Zealand
Hellaby Holdings Limited,HBY.NZ,NZSE,New Zealand
New Talisman Gold Mines Ltd,HGD.NZ,NZSE,New Zealand
Hallenstein Glasson Limited,HLG.NZ,NZSE,New Zealand
Infratil Limited,IFT.NZ,NZSE,New Zealand
Jasons Travel Media Limited,JTM.NZ,NZSE,New Zealand
Just Water Internati,JWI.NZ,NZSE,New Zealand
Kingfish Limited,KFL.NZ,NZSE,New Zealand
Kathmandu Holdings Limited,KMD.NZ,NZSE,New Zealand
Augusta Capital Ltd,KPF.NZ,NZSE,New Zealand
Kirkcaldie & Stains Limited,KRK.NZ,NZSE,New Zealand
Livestock Improvemen,LIC.NZ,NZSE,New Zealand
L&M,LME.NZ,NZSE,New Zealand
Lyttelton Port Company Ltd,LPC.NZ,NZSE,New Zealand
Millennium & Copthor,MCK.NZ,NZSE,New Zealand
Metlifecare limited,MET.NZ,NZSE,New Zealand
Mainfreight Limited,MFT.NZ,NZSE,New Zealand
Mercer Group Ltd.,MGL.NZ,NZSE,New Zealand
Michael Hill Interna,MHI.NZ,NZSE,New Zealand
Marlin Global Limited,MLN.NZ,NZSE,New Zealand
Mowbray Collectables Limited,MOW.NZ,NZSE,New Zealand
Methven Limited,MVN.NZ,NZSE,New Zealand
New Image Group Limited,NEW.NZ,NZSE,New Zealand
Nuplex Industries Limited,NPX.NZ,NZSE,New Zealand
Northland Port,NTH.NZ,NZSE,New Zealand
Foley Family Wines Ltd,NWC.NZ,NZSE,New Zealand
NZ Windfarms Limited,NWF.NZ,NZSE,New Zealand
New Zealand Experience Limited,NZE.NZ,NZSE,New Zealand
New Zealand Oil & Gas Ltd.,NZO.NZ,NZSE,New Zealand
New Zealand Refining,NZR.NZ,NZSE,New Zealand
NZ Farming Systems U,NZS.NZ,NZSE,New Zealand
NZX Ltd,NZX.NZ,NZSE,New Zealand
OceanaGold Corporation,OGC.NZ,NZSE,New Zealand
Opus International,OIC.NZ,NZSE,New Zealand
Orion Minerals Group Limited,OMG.NZ,NZSE,New Zealand
Pacific Brands Limited,PBG.NZ,NZSE,New Zealand
Pacific Edge Ltd.,PEB.NZ,NZSE,New Zealand
Property For Industry Limited,PFI.NZ,NZSE,New Zealand
Pyne Gould Corporation Limited,PGC.NZ,NZSE,New Zealand
PGG Wrightson Limited,PGW.NZ,NZSE,New Zealand
Pharmacybrands Ltd.,PHB.NZ,NZSE,New Zealand
Pulse Utilities New,PLU.NZ,NZSE,New Zealand
Port of Tauranga Limited,POT.NZ,NZSE,New Zealand
Postie Plus Group Limited,PPG.NZ,NZSE,New Zealand
Pumpkin Patch Limited,PPL.NZ,NZSE,New Zealand
Pan Pacific Petroleum NL,PPP.NZ,NZSE,New Zealand
Rakon Limited,RAK.NZ,NZSE,New Zealand
Rubicon Limited,RBC.NZ,NZSE,New Zealand
Restaurant Brands NZ Limited,RBD.NZ,NZSE,New Zealand
RIS Group Ltd.,RIS.NZ,NZSE,New Zealand
Renaissance Corporation Ltd,RNS.NZ,NZSE,New Zealand
Ryman Healthcare Limited,RYM.NZ,NZSE,New Zealand
Sanford Limited,SAN.NZ,NZSE,New Zealand
Scott Technology Limited,SCT.NZ,NZSE,New Zealand
Smiths City Group Limited,SCY.NZ,NZSE,New Zealand
Solution Dynamics Limited,SDL.NZ,NZSE,New Zealand
Seeka Kiwifruit Indu,SEK.NZ,NZSE,New Zealand
Speirs Group Limited,SGL.NZ,NZSE,New Zealand
Skycity Entertainment,SKC.NZ,NZSE,New Zealand
Skellerup Holdings Limited,SKL.NZ,NZSE,New Zealand
Sky Network Television Limited,SKT.NZ,NZSE,New Zealand
Sealegs Corporation Limited,SLG.NZ,NZSE,New Zealand
South Port New Zealand Limited,SPN.NZ,NZSE,New Zealand
SmartPay Holdings Ltd,SPY.NZ,NZSE,New Zealand
Southern Travel,STH.NZ,NZSE,New Zealand
Steel & Tube Holdings Ltd.,STU.NZ,NZSE,New Zealand
Savoy Equities Limited,SVY.NZ,NZSE,New Zealand
Telecom Corporation,TEL.NZ,NZSE,New Zealand
Tenon Limited,TEN.NZ,NZSE,New Zealand
Tourism Holdings Limited,THL.NZ,NZSE,New Zealand
Telstra Corp Ltd,TLS.NZ,NZSE,New Zealand
TrustPower Limited,TPW.NZ,NZSE,New Zealand
TeamTalk Limited,TTK.NZ,NZSE,New Zealand
Turners Auctions Limited,TUA.NZ,NZSE,New Zealand
Turners & Growers Limited,TUR.NZ,NZSE,New Zealand
Tower Limited,TWR.NZ,NZSE,New Zealand
Vector Limited,VCT.NZ,NZSE,New Zealand
Westpac Banking Corp,WBC.NZ,NZSE,New Zealand
Wellington Drive Tec,WDT.NZ,NZSE,New Zealand
Wool Equities Limited,WEL.NZ,NZSE,New Zealand
Acurity Health Group Ltd,WFD.NZ,NZSE,New Zealand
Warehouse Group Limited (The),WHS.NZ,NZSE,New Zealand
Widespread Portfolios Ltd.,WID.NZ,NZSE,New Zealand
New Zealand Wool Ser,WSI.NZ,NZSE,New Zealand
Windflow Technology Limited,WTL.NZ,NZSE,New Zealand
Xero Ltd,XRO.NZ,NZSE,New Zealand
Zintel Group Limited,ZIN.NZ,NZSE,New Zealand
